Column Name,count,mean,std,min,25%,50%,75%,max
Air Temperature,196294.0,12.62,10.44,-29.78,4.3,13.7,21.5,37.6
Wet Bulb Temperature,120394.0,10.27,9.41,-28.9,3.0,11.6,18.4,28.4
Humidity,196369.0,68.02,15.63,0.0,57.0,69.0,80.0,100.0
Rain Intensity,120394.0,0.16,1.79,0.0,0.0,0.0,0.0,183.6
Interval Rain,196369.0,0.14,1.1,-0.9,0.0,0.0,0.0,63.42
Total Rain,120394.0,141.47,190.44,0.0,16.7,55.5,200.5,1056.1
Precipitation Type,120394.0,4.27,15.59,0.0,0.0,0.0,0.0,70.0
Wind Direction,196369.0,140.8,122.02,0.0,10.0,115.0,260.0,359.0
Wind Speed,196369.0,2.92,5.34,0.0,1.6,2.9,3.3,999.9
Maximum Wind Speed,196369.0,3.56,5.95,0.0,1.2,3.1,5.2,999.9
Barometric Pressure,196223.0,994.32,10.03,0.0,990.2,994.4,998.6,3098.5
Solar Radiation,196369.0,112.33,842.69,-100000.0,0.0,4.0,131.0,1277.0
Heading,120394.0,281.98,142.76,0.0,350.0,354.0,357.0,359.0
Battery Life,196369.0,13.16,1.54,0.0,11.9,12.0,15.1,15.3
